Timestamp,City,Temperature,Humidity,Wind Speed,AQI,PM2.5,PM10,NO2,SO2,CO
2025-02-20 23:20:53,Helsinki,-0.77,94,10.28,2,4.25,5.94,4.5,2.18,280.38
2025-02-20 23:21:05,hanoi,18.98,90,2.01,5,99.47,119.63,72.66,23.6,1668.93
